time,part,x_r,y_r,z_r,x_d,y_d,z_d
0,nose,33.3157,14.8922,2.5,30.1888,19.7873,2.5
0,left ear,11.8968,13.7552,19,9.99992,12.5435,19
0,right ear,18.2555,-0.380437,19,20.1523,0.831226,19
0,left front paw,16.4677,13.3442,-8,5.52399,8.42132,-8
0,right front paw,20.9804,3.31248,-8,31.9241,8.23538,-8
0,left hind paw,-12.8056,8.94814,-8,-1.86184,13.871,-8
0,right hind paw,-1.72903,-15.6752,-8,-12.6728,-20.5981,-8
0,tail root,-26.8748,-12.1837,-6,-26.8748,-12.1837,-6
0,head center,15.0761,6.68738,19,15.0761,6.68738,19
0,tail base,-7.2673,-3.36354,19,-7.2673,-3.36354,19
0.0333333,nose,34.2066,14.0984,2.5,31.3756,18.9042,2.5
0.0333333,left ear,12.7631,13.6101,19,10.9008,12.5131,19
0.0333333,right ear,18.6911,-0.711496,19,20.5534,0.385521,19
0.0333333,left front paw,17.3195,13.061,-8,6.69996,8.66528,-8
0.0333333,right front paw,21.5265,2.89727,-8,32.1461,7.29297,-8
0.0333333,left hind paw,-12.0734,9.55277,-8,-1.45386,13.9485,-8
0.0333333,right hind paw,-1.74708,-15.3945,-8,-12.3666,-19.7902,-8
0.0333333,tail root,-26.7757,-11.1437,-6,-26.7757,-11.1437,-6
0.0333333,head center,15.7271,6.4493,19,15.7271,6.4493,19
0.0333333,tail base,-6.91024,-2.92088,19,-6.91024,-2.92088,19
0.0666667,nose,36.6212,8.02645,2.5,34.8194,13.0571,2.5
0.0666667,left ear,15.4452,11.4381,19,13.4958,10.7399,19
0.0666667,right ear,18.6755,-3.72153,19,20.6249,-3.02332,19
0.0666667,left front paw,19.8263,10.0712,-8,9.08412,7.78215,-8
0.0666667,right front paw,22.1188,-0.6873,-8,32.8609,1.60171,-8
0.0666667,left hind paw,-9.71518,11.9559,-8,1.02698,14.2449,-8
0.0666667,right hind paw,-4.08817,-14.4513,-8,-14.8303,-16.7403,-8
0.0666667,tail root,-27.9296,-5.72845,-6,-27.9296,-5.72845,-6
0.0666667,head center,17.0604,3.8583,19,17.0604,3.8583,19
0.0666667,tail base,-6.90168,-1.24769,19,-6.90168,-1.24769,19
0.1,nose,36.065,12.0086,2.5,33.8459,16.6073,2.5
0.1,left ear,14.6407,13.0399,19,12.8587,12.18,19
0.1,right ear,19.5398,-1.66551,19,21.3218,-0.805602,19
0.1,left front paw,19.1468,12.1695,-8,9.21354,8.86026,-8
0.1,right front paw,22.6236,1.73343,-8,32.5568,5.04269,-8
0.1,left hind paw,-10.4207,10.7514,-8,-0.487461,14.0607,-8
0.1,right hind paw,-1.88682,-14.8645,-8,-11.8201,-18.1737,-8
0.1,tail root,-26.5516,-8.85205,-6,-26.5516,-8.85205,-6
