epoch,loss,step,val_loss
0,0.10262863337993622,9,
0,0.06174677982926369,19,
0,0.02427324838936329,29,
0,,30,0.09228221327066422
1,0.013483638875186443,39,
1,0.007827977649867535,49,
1,0.005192635115236044,59,
1,,61,0.03142751380801201
2,0.006535585504025221,69,
2,0.0051743704825639725,79,
2,0.0036156857386231422,89,
2,,92,0.004291968420147896
3,0.004136200062930584,99,
3,0.003075234591960907,109,
3,0.0032870906870812178,119,
3,,123,0.0032754677813500166
4,0.003915776964277029,129,
4,0.0024097990244627,139,
4,0.0023489692248404026,149,
4,,154,0.0027742856182157993
5,0.0028780612628906965,159,
5,0.0021200119517743587,169,
5,0.0024871453642845154,179,
5,,185,0.002224851166829467
6,0.0032020658254623413,189,
6,0.001871091197244823,199,
6,0.0017804689705371857,209,
6,,216,0.0030869096517562866
7,0.002495876979082823,219,
7,0.0021545724011957645,229,
7,0.0015611486742272973,239,
7,,247,0.0025804375763982534
8,0.0029996049124747515,249,
8,0.0015658448683097959,259,
8,0.0014543369179591537,269,
8,,278,0.0024531760718673468
9,0.0031085847876966,279,
9,0.0018924270989373326,289,
9,0.0012454676907509565,299,
9,0.0033046118915081024,309,
9,,309,0.002067011781036854
10,0.0017284193309023976,319,
10,0.0010544740362092853,329,
10,0.0014123907312750816,339,
10,,340,0.0012644585222005844
11,0.0009840329876169562,349,
11,0.0008690035319887102,359,
11,0.0011110024061053991,369,
11,,371,0.0012908733915537596
12,0.0007613574853166938,379,
12,0.0010197589872404933,389,
12,0.0007950520957820117,399,
12,,402,0.0010853781132027507
13,0.0010501737706363201,409,
13,0.0008149181958287954,419,
13,0.0015253868186846375,429,
13,,433,0.0010848100064322352
14,0.0013495997991412878,439,
14,0.0007352863904088736,449,
14,0.0009283971157856286,459,
14,,464,0.0010691843926906586
15,0.001260770601220429,469,
15,0.0007661196286790073,479,
15,0.0009228354902006686,489,
15,,495,0.0009986924706026912
16,0.0015949276275932789,499,
16,0.000885908433701843,509,
16,0.0008055577054619789,519,
16,,526,0.001101979985833168
17,0.000996618065983057,529,
17,0.0006800300907343626,539,
17,0.0007189658936113119,549,
17,,557,0.0010030362755060196
18,0.001068340614438057,559,
18,0.0006735880160704255,569,
18,0.000595874444115907,579,
18,,588,0.0012649752898141742
19,0.0015265785623341799,589,
19,0.0007215607911348343,599,
19,0.000601371459197253,609,
19,0.00170050875749439,619,
19,,619,0.001079078996554017
20,0.0008185590268112719,629,
20,0.0006248258287087083,639,
20,0.0009832996875047684,649,
20,,650,0.0014967619208618999
21,0.0011191355297341943,659,
21,0.000618588412180543,669,
21,0.0008006616262719035,679,
21,,681,0.001170434057712555
22,0.0006471265805885196,689,
22,0.0008156622061505914,699,
22,0.000642417639028281,709,
22,,712,0.0014522579731419683
23,0.0008663185290060937,719,
23,0.0007729069329798222,729,
23,0.0009485838818363845,739,
23,,743,0.0011065170401707292
24,0.0010623889975249767,749,
24,0.0005604839534498751,759,
24,0.0006119777681306005,769,
24,,774,0.0011951301712542772
25,0.0011121822753921151,779,
25,0.0005465835565701127,789,
25,0.0006544851348735392,799,
25,,805,0.0010165031999349594
26,0.0012166110100224614,809,
26,0.0005920695839449763,819,
26,0.0005527235334739089,829,
26,,836,0.0010722002480179071
27,0.0008930436451919377,839,
27,0.0005971075734123588,849,
27,0.0005108955665491521,859,
27,,867,0.0009048501378856599
28,0.0009518383303657174,869,
28,0.0005566530162468553,879,
28,0.00042874502833001316,889,
28,,898,0.000976422568783164
29,0.0009969210950657725,899,
29,0.00044975391938351095,909,
29,0.0004863508220296353,919,
29,0.0008312892750836909,929,
29,,929,0.0008245694916695356
30,0.0004659669357351959,939,
30,0.00040696258656680584,949,
30,0.0007310402579605579,959,
30,,960,0.000921485829167068
31,0.0006134455325081944,969,
31,0.00036490443744696677,979,
31,0.0006901868619024754,989,
31,,991,0.0007681763963773847
32,0.0004083684179931879,999,
32,0.0005600491422228515,1009,
32,0.0004919629427604377,1019,
32,,1022,0.0008801395306363702
33,0.000491378188598901,1029,
33,0.0004483639495447278,1039,
33,0.0006771780317649245,1049,
33,,1053,0.0007477606413885951
34,0.0006967936060391366,1059,
34,0.00034558773040771484,1069,
34,0.00042571683297865093,1079,
34,,1084,0.0008952278294600546
35,0.0007200029795058072,1089,
35,0.00045331529690884054,1099,
35,0.0004978400538675487,1109,
35,,1115,0.0007639419054612517
36,0.000963512109592557,1119,
36,0.00046455609844997525,1129,
36,0.0004328778595663607,1139,
36,,1146,0.0009294878109358251
37,0.0006388557958416641,1149,
37,0.000390120898373425,1159,
37,0.00035610244958661497,1169,
37,,1177,0.0007994975312612951
38,0.0008318507461808622,1179,
38,0.0004322492750361562,1189,
38,0.0003399229026399553,1199,
38,,1208,0.0010303024901077151
39,0.0009801717242226005,1209,
39,0.0004592487821355462,1219,
39,0.00045128658530302346,1229,
39,0.0009685144177637994,1239,
39,,1239,0.0009122260962612927
40,0.0004452122375369072,1249,
40,0.00036440236726775765,1259,
40,0.0006390810594893992,1269,
40,,1270,0.001258927513845265
41,0.0007343689794652164,1279,
41,0.0003692612226586789,1289,
41,0.0006310754688456655,1299,
41,,1301,0.0009839022532105446
42,0.0005313555593602359,1309,
42,0.0006347768940031528,1319,
42,0.0004771277599502355,1329,
42,,1332,0.0012593574356287718
43,0.0005363624659366906,1339,
43,0.0004073168383911252,1349,
43,0.0005884931888431311,1359,
43,,1363,0.0008638899307698011
44,0.0008110543130896986,1369,
44,0.00038319118903018534,1379,
44,0.00039591421955265105,1389,
44,,1394,0.001112712430767715
45,0.0009136473527178168,1399,
45,0.0005197791033424437,1409,
45,0.000416409078752622,1419,
45,,1425,0.0008751911227591336
46,0.0010214096400886774,1429,
46,0.00040754274232313037,1439,
46,0.00037524985964410007,1449,
46,,1456,0.0010128689464181662
47,0.0006982810446061194,1459,
47,0.00041393860010430217,1469,
47,0.0003379845875315368,1479,
47,,1487,0.0008862848044373095
48,0.0011867868015542626,1489,
48,0.00045647856313735247,1499,
48,0.00029986523441039026,1509,
48,,1518,0.0008630646043457091
49,0.0009035122930072248,1519,
49,0.0004052982258144766,1529,
49,0.0004235274682287127,1539,
49,0.0010077801998704672,1549,
49,,1549,0.0008208674262277782
50,0.0003718257648870349,1559,
50,0.00027765860431827605,1569,
50,0.0005142539157532156,1579,
50,,1580,0.0007744294707663357
51,0.0005202346364967525,1589,
51,0.00026846592663787305,1599,
51,0.0006081109750084579,1609,
51,,1611,0.0007595170754939318
52,0.000401071272790432,1619,
52,0.0004538461216725409,1629,
52,0.0004074352909810841,1639,
52,,1642,0.0007561512175016105
53,0.0003428093914408237,1649,
53,0.00034366801264695823,1659,
53,0.0005020621465519071,1669,
53,,1673,0.0007325627957470715
54,0.0006864117458462715,1679,
54,0.0002534562663640827,1689,
54,0.0003545554354786873,1699,
54,,1704,0.000738054804969579
55,0.0005324261146597564,1709,
55,0.0003855391696561128,1719,
55,0.00037290528416633606,1729,
55,,1735,0.0007195387152023613
56,0.0008049926836974919,1739,
56,0.0003137098392471671,1749,
56,0.0003728242008946836,1759,
56,,1766,0.0006979098543524742
57,0.0005970258498564363,1769,
57,0.0002675362047739327,1779,
57,0.00024905602913349867,1789,
57,,1797,0.0007130170124582946
58,0.0007663982687518001,1799,
58,0.00035366331576369703,1809,
58,0.00028239606763236225,1819,
58,,1828,0.000658235396258533
59,0.000557013088837266,1829,
59,0.00031700293766334653,1839,
59,0.0003960637259297073,1849,
59,0.0004587375733535737,1859,
59,,1859,0.0007248493493534625
60,0.0003157930332235992,1869,
60,0.00022027337399777025,1879,
60,0.0004833698330912739,1889,
60,,1890,0.0006127238739281893
61,0.00038051343290135264,1899,
61,0.00022000995522830635,1909,
61,0.0005408998113125563,1919,
61,,1921,0.0007585547864437103
62,0.00038367684464901686,1929,
62,0.0004033179138787091,1939,
62,0.00038441235665231943,1949,
62,,1952,0.0005976554239168763
63,0.0003277137002442032,1959,
63,0.00032632326474413276,1969,
63,0.000479372451081872,1979,
63,,1983,0.000802552152890712
64,0.0006693953764624894,1989,
64,0.0002199374430347234,1999,
64,0.0003189574636053294,2009,
64,,2014,0.0005848408909514546
65,0.0004482596996240318,2019,
