epoch,loss,step,val_loss
0,0.10845418274402618,9,
0,0.06945009529590607,19,
0,0.04282229393720627,29,
0,,30,0.05700567737221718
1,0.01223202794790268,39,
1,0.006984225939959288,49,
1,0.005138813052326441,59,
1,,61,0.007202295586466789
2,0.004320092033594847,69,
2,0.0036662050988525152,79,
2,0.0029864031821489334,89,
2,,92,0.00366323278285563
3,0.0030478681437671185,99,
3,0.0027196332812309265,109,
3,0.0035447068512439728,119,
3,,123,0.0026029746513813734
4,0.0031374988611787558,129,
4,0.0024926960468292236,139,
4,0.002590159187093377,149,
4,,154,0.0023056785576045513
5,0.002399452729150653,159,
5,0.002050942974165082,169,
5,0.002326269168406725,179,
5,,185,0.0020574028603732586
6,0.00242856633849442,189,
6,0.0017821579240262508,199,
6,0.0017274348065257072,209,
6,,216,0.0018498151330277324
7,0.001640775240957737,219,
7,0.0016370689263567328,229,
7,0.0016127217095345259,239,
7,,247,0.0017664855113252997
8,0.0019508600234985352,249,
8,0.0014064470306038857,259,
8,0.0013723147567361593,269,
8,,278,0.0016665761359035969
9,0.002522825263440609,279,
9,0.0014921845868229866,289,
9,0.001141533488407731,299,
9,0.0009705880656838417,309,
9,,309,0.0015780340181663632
10,0.0014202268794178963,319,
10,0.0014236790593713522,329,
10,0.0017936890944838524,339,
10,,340,0.0015100223245099187
11,0.0010998978978022933,349,
11,0.0010941234650090337,359,
11,0.0012902113376185298,369,
11,,371,0.0014633607352152467
12,0.0011009013978764415,379,
12,0.0010154687333852053,389,
12,0.0010506728431209922,399,
12,,402,0.0014280395116657019
13,0.0012440247228369117,409,
13,0.0010126401903107762,419,
13,0.002001073444262147,429,
13,,433,0.0013974654721096158
14,0.0016507433028891683,439,
14,0.0010999947553500533,449,
14,0.001266332226805389,459,
14,,464,0.001359196612611413
15,0.0011901966063305736,469,
15,0.0009287598659284413,479,
15,0.0011180141009390354,489,
15,,495,0.001322668744251132
16,0.0016344680916517973,499,
16,0.0011536887614056468,509,
16,0.0008870517485775054,519,
16,,526,0.0012918300926685333
17,0.001023471006192267,529,
17,0.0008631825912743807,539,
17,0.0009936131536960602,549,
17,,557,0.0012595708249136806
18,0.0010634594364091754,559,
18,0.0007805026834830642,569,
18,0.0008718776516616344,579,
18,,588,0.0012287609279155731
19,0.0018969151424244046,589,
19,0.0010600935202091932,599,
19,0.0007744021131657064,609,
19,0.00046491200919263065,619,
19,,619,0.0011967415921390057
20,0.0009012339869514108,629,
20,0.0009822463616728783,639,
20,0.0014152430230751634,649,
20,,650,0.0011760828783735633
21,0.0007544536492787302,659,
21,0.0007490851567126811,669,
21,0.0009728127042762935,679,
21,,681,0.0011517516104504466
22,0.0007006674422882497,689,
22,0.000643848383333534,699,
22,0.0008360118954442441,709,
22,,712,0.0011399744544178247
23,0.000802055059466511,719,
23,0.000729138613678515,729,
23,0.0015523312613368034,739,
23,,743,0.0011112273205071688
24,0.0014509923057630658,749,
24,0.000857293140143156,759,
24,0.0009427406475879252,769,
24,,774,0.001095167943276465
25,0.0008888225420378149,779,
25,0.0006209354614838958,789,
25,0.0007937657064758241,799,
25,,805,0.0010644968133419752
26,0.001324478187598288,809,
26,0.0009018985438160598,819,
26,0.0007104455726221204,829,
26,,836,0.0010527388658374548
