epoch,loss,step,val_loss
0,0.13215847313404083,9,
0,0.06278112530708313,19,
0,0.03580727055668831,29,
0,,30,0.04332848638296127
1,0.026803601533174515,39,
1,0.01952430233359337,49,
1,0.01609748788177967,59,
1,,61,0.017319245263934135
2,0.012995590455830097,69,
2,0.011416940949857235,79,
2,0.009970246814191341,89,
2,,92,0.011795228347182274
3,0.00876679178327322,99,
3,0.008393581956624985,109,
3,0.007435350213199854,119,
3,,123,0.008593631908297539
4,0.006647276692092419,129,
4,0.006289811339229345,139,
4,0.0056148311123251915,149,
4,,154,0.007205947767943144
5,0.006674671545624733,159,
5,0.00523551506921649,169,
5,0.004670598078519106,179,
5,,185,0.005901256576180458
6,0.004963505081832409,189,
6,0.004978494718670845,199,
6,0.004169709049165249,209,
6,,216,0.005012684501707554
7,0.004394171759486198,219,
7,0.004891654476523399,229,
7,0.003421153873205185,239,
7,,247,0.0044182981364429
8,0.004372111055999994,249,
8,0.0034560495987534523,259,
8,0.003514670068398118,269,
8,,278,0.003972891252487898
9,0.0030361090321093798,279,
9,0.0029984191060066223,289,
9,0.0029149907641112804,299,
9,0.0038299928419291973,309,
9,,309,0.003603077959269285
10,0.003279955592006445,319,
10,0.002533805789425969,329,
10,0.002862386405467987,339,
10,,340,0.0032447734847664833
11,0.004558071959763765,349,
11,0.0024922159500420094,359,
11,0.002907459856942296,369,
11,,371,0.0030199335888028145
12,0.0025459197349846363,379,
12,0.0023703232873231173,389,
12,0.002305740723386407,399,
12,,402,0.002676007803529501
13,0.0020636082626879215,409,
13,0.0025875549763441086,419,
13,0.002136258175596595,429,
13,,433,0.002442063996568322
14,0.0018940268782898784,439,
14,0.0020574128720909357,449,
14,0.001749764895066619,459,
14,,464,0.0023003423120826483
15,0.0029526720754802227,469,
15,0.001989813055843115,479,
15,0.0018007351318374276,489,
15,,495,0.002183327218517661
16,0.0019973102025687695,499,
16,0.0024647763930261135,509,
16,0.0018016392132267356,519,
16,,526,0.002084088744595647
17,0.0020785999950021505,529,
17,0.0028627561405301094,539,
17,0.001509136171080172,549,
17,,557,0.0019882041960954666
18,0.0023315250873565674,559,
18,0.001705366768874228,569,
18,0.0018404941074550152,579,
18,,588,0.0019009484676644206
19,0.0014176095137372613,589,
19,0.0015000957064330578,599,
19,0.0016037187306210399,609,
19,0.0020802959334105253,619,
19,,619,0.0018193932482972741
20,0.0019403047626838088,629,
20,0.0012966985814273357,639,
20,0.0016796981217339635,649,
20,,650,0.0017316191224381328
21,0.0033285459503531456,659,
21,0.001461088191717863,669,
21,0.001894314307719469,679,
21,,681,0.001678833388723433
22,0.0014917828375473619,689,
22,0.001420909888111055,699,
22,0.0014295231085270643,709,
22,,712,0.0016228320309892297
23,0.0012081169988960028,719,
23,0.0017169471830129623,729,
23,0.001362906419672072,739,
23,,743,0.00157652935013175
24,0.0011624590260908008,749,
24,0.0013558360515162349,759,
24,0.0010635029757395387,769,
24,,774,0.0015076055424287915
25,0.0021570581011474133,779,
25,0.0013638503151014447,789,
25,0.0011607938213273883,799,
25,,805,0.0014697691658511758
26,0.001306750113144517,809,
26,0.001795105286873877,819,
26,0.0011984632583335042,829,
26,,836,0.0014103560242801905
27,0.00140720559284091,839,
27,0.0022510006092488766,849,
27,0.001009013270959258,859,
27,,867,0.001367256511002779
28,0.001696661813184619,869,
28,0.001197562669403851,879,
28,0.0013718673726543784,889,
28,,898,0.0013273408403620124
29,0.0009544072090648115,899,
29,0.0010762783931568265,909,
29,0.001177160651423037,919,
29,0.0014615055406466126,929,
29,,929,0.0012975644785910845
30,0.001459751627407968,939,
30,0.0009184072841890156,949,
30,0.0012828756589442492,959,
30,,960,0.0012560669565573335
31,0.002833996433764696,969,
31,0.0010922412620857358,979,
31,0.001514202100224793,989,
31,,991,0.001231570029631257
32,0.001093979342840612,999,
32,0.001042263233102858,1009,
32,0.0010887817479670048,1019,
32,,1022,0.0011914331698790193
33,0.0009042120072990656,1029,
33,0.0013901592465117574,1039,
33,0.0010638338280841708,1049,
33,,1053,0.0011636449489742517
34,0.0008951124036684632,1059,
34,0.001099345157854259,1069,
34,0.0007882717181928456,1079,
34,,1084,0.0011429046280682087
35,0.001815102994441986,1089,
35,0.001101482892408967,1099,
35,0.0008814274915494025,1109,
35,,1115,0.0011275035794824362
36,0.000988914631307125,1119,
36,0.001469284063205123,1129,
36,0.0009171934216283262,1139,
36,,1146,0.0011026710271835327
37,0.0010645869188010693,1149,
37,0.001957358792424202,1159,
37,0.0007735845283605158,1169,
37,,1177,0.0010954594472423196
38,0.0013972950400784612,1179,
38,0.0009757400839589536,1189,
38,0.001156600657850504,1199,
38,,1208,0.0010722287697717547
39,0.0007518733036704361,1209,
39,0.0008816050831228495,1219,
39,0.000968709122389555,1229,
39,0.0011127120815217495,1239,
39,,1239,0.0010575701016932726
40,0.0011835404438897967,1249,
40,0.0007397928275167942,1259,
40,0.001074773957952857,1269,
40,,1270,0.0010535252513363957
41,0.0025576443877071142,1279,
41,0.0008977889665402472,1289,
41,0.00131679093465209,1299,
41,,1301,0.0010518897324800491
42,0.0008799288771115243,1309,
42,0.0008155840914696455,1319,
42,0.0009071534150280058,1329,
42,,1332,0.0010422782506793737
43,0.0007552211172878742,1339,
43,0.0012309083249419928,1349,
43,0.0009000173886306584,1359,
43,,1363,0.0010362542234361172
44,0.0007528068381361663,1369,
44,0.0009552871342748404,1379,
44,0.0006355367368087173,1389,
44,,1394,0.0010405757930129766
45,0.001638850779272616,1399,
45,0.0009362815180793405,1409,
45,0.0007151683093979955,1419,
45,,1425,0.0010364961344748735
46,0.0007930334541015327,1429,
46,0.0012733354233205318,1439,
46,0.0007516898331232369,1449,
46,,1456,0.0010497450130060315
47,0.000852845492772758,1459,
47,0.001777878263965249,1469,
47,0.0006352939526550472,1479,
47,,1487,0.0010508459527045488
48,0.0012171121779829264,1489,
48,0.0008483837591484189,1499,
48,0.0010268075857311487,1509,
48,,1518,0.0010635536164045334
49,0.0006390810594893992,1519,
49,0.0007682120194658637,1529,
49,0.0008382618543691933,1539,
49,0.0008777414914220572,1549,
49,,1549,0.0010703604202717543
50,0.0010016621090471745,1559,
50,0.0006348592578433454,1569,
50,0.000942615675739944,1579,
