epoch,loss,step,val_loss
0,0.10325486212968826,9,
0,0.06982001662254333,19,
0,0.041140902787446976,29,
0,,30,0.05997718125581741
1,0.012294914573431015,39,
1,0.006192064844071865,49,
1,0.004890752956271172,59,
1,,61,0.007515878416597843
2,0.00391210475936532,69,
2,0.0032809816766530275,79,
2,0.0031340604182332754,89,
2,,92,0.0030923138838261366
3,0.0029414943419396877,99,
3,0.0029811991844326258,109,
3,0.002287129173055291,119,
3,,123,0.0022959632333368063
4,0.002473891247063875,129,
4,0.0027039337437599897,139,
4,0.0018462736625224352,149,
4,,154,0.0020227020140737295
5,0.0026989656034857035,159,
5,0.0027676369063556194,169,
5,0.001498890807852149,179,
5,,185,0.001825968618504703
6,0.0015935524133965373,189,
6,0.002009039279073477,199,
6,0.0015884634340181947,209,
6,,216,0.0016669809119775891
7,0.0016024335054680705,219,
7,0.002322662388905883,229,
7,0.0013782342430204153,239,
7,,247,0.0015471262158825994
8,0.00214062025770545,249,
8,0.001533017959445715,259,
8,0.0014243086334317923,269,
8,,278,0.0014817389892414212
9,0.00141582649666816,279,
9,0.0015963929472491145,289,
9,0.0012033239472657442,299,
9,0.0015731059247627854,309,
9,,309,0.001431398675777018
10,0.0015163844218477607,319,
10,0.0011734359432011843,329,
10,0.001784544438123703,339,
10,,340,0.0014367434196174145
11,0.002153732581064105,349,
11,0.0011511680204421282,359,
11,0.0010833630803972483,369,
11,,371,0.0014259051531553268
12,0.0011309303808957338,379,
12,0.0012782450066879392,389,
12,0.0011767973192036152,399,
12,,402,0.0013928578700870275
13,0.0011839231010526419,409,
13,0.0015584008069708943,419,
13,0.0012399075785651803,429,
13,,433,0.0013403818011283875
14,0.0013077874900773168,439,
14,0.001206633634865284,449,
14,0.000861208769492805,459,
14,,464,0.001263434300199151
15,0.0015534902922809124,469,
15,0.0015171298291534185,479,
15,0.0006978894234634936,489,
15,,495,0.0011726238299161196
16,0.0007360873860307038,499,
16,0.0016217846423387527,509,
16,0.0012103854678571224,519,
16,,526,0.001103604445233941
17,0.001024426775984466,529,
17,0.0018861471908167005,539,
17,0.000799911969806999,549,
17,,557,0.0010345225455239415
18,0.001332269050180912,559,
18,0.0012139157624915242,569,
18,0.0007594116614200175,579,
18,,588,0.000972842623014003
19,0.0009305680287070572,589,
19,0.0009563780622556806,599,
19,0.0010009229881688952,609,
19,0.000734764093067497,619,
19,,619,0.0009244605316780508
20,0.0009971604449674487,629,
20,0.0007358826114796102,639,
20,0.0013285730965435505,649,
20,,650,0.0008928838069550693
21,0.0017819018103182316,659,
21,0.0008261932525783777,669,
21,0.0007652979693375528,679,
21,,681,0.0008519968250766397
22,0.0006826516473665833,689,
22,0.0009903134778141975,699,
22,0.0008866676944307983,709,
22,,712,0.000818635628093034
23,0.0007156980573199689,719,
23,0.001109694829210639,729,
23,0.000870858842972666,739,
23,,743,0.0007927014958113432
24,0.0010811018291860819,749,
24,0.0008890061290003359,759,
24,0.0006079766899347305,769,
24,,774,0.0007657063542865217
25,0.0011210128432139754,779,
25,0.0012008558260276914,789,
25,0.0005709307151846588,799,
25,,805,0.0007436780724674463
26,0.0005174625548534095,809,
26,0.0012656576000154018,819,
26,0.0008679485763423145,829,
26,,836,0.0007260552374646068
27,0.000765228527598083,839,
27,0.0016640076646581292,849,
27,0.0005521976854652166,859,
27,,867,0.0007214845973066986
28,0.0008563321316614747,869,
28,0.0011726700467988849,879,
28,0.0006210179999470711,889,
28,,898,0.0007313527748920023
29,0.0008730861009098589,899,
29,0.0006912134704180062,909,
29,0.0007745466427877545,919,
29,0.0004556277417577803,929,
29,,929,0.0007571978494524956
30,0.001085620024241507,939,
30,0.0005394300096668303,949,
30,0.0009872298687696457,959,
30,,960,0.0008175462717190385
31,0.0015763527480885386,969,
31,0.0007595815695822239,979,
31,0.0006499557639472187,989,
31,,991,0.0009364711586385965
32,0.0006094888085499406,999,
32,0.0008021576213650405,1009,
32,0.0007471279823221266,1019,
32,,1022,0.001020685420371592
33,0.0009527143556624651,1029,
33,0.0010235836962237954,1039,
33,0.0009741937974467874,1049,
33,,1053,0.0008312287391163409
34,0.0008027915610000491,1059,
34,0.0006913566612638533,1069,
34,0.000529348268173635,1079,
34,,1084,0.000756244407966733
35,0.0011481057154014707,1089,
35,0.0010199386160820723,1099,
35,0.0005404538242146373,1109,
35,,1115,0.0008282220223918557
36,0.00047006647218950093,1119,
36,0.0011797212064266205,1129,
36,0.000822568719740957,1139,
36,,1146,0.0007832954870536923
37,0.0005275476723909378,1149,
37,0.0013693905202671885,1159,
37,0.0004479929921217263,1169,
37,,1177,0.0007567055290564895
38,0.0006706661079078913,1179,
38,0.0008643047185614705,1189,
38,0.0004891773569397628,1199,
38,,1208,0.0007626714650541544
39,0.0005925772711634636,1209,
39,0.0006296206847764552,1219,
39,0.00078642024891451,1229,
39,0.00037025316851213574,1239,
39,,1239,0.0007612247136421502
40,0.0007043539080768824,1249,
40,0.00044879221240989864,1259,
40,0.0008543505682609975,1269,
40,,1270,0.0007745494367554784
41,0.0013567137066274881,1279,
41,0.0006039358559064567,1289,
41,0.000559607520699501,1299,
41,,1301,0.0007965890108607709
42,0.00039496112731285393,1309,
42,0.0007887408137321472,1319,
42,0.000672949303407222,1329,
42,,1332,0.0008007669821381569
43,0.0004799788002856076,1339,
43,0.0007885601953603327,1349,
