epoch,loss,step,val_loss
0,0.1082935705780983,9,
0,0.055671967566013336,19,
0,0.029059670865535736,29,
0,,30,0.06316324323415756
1,0.01791691780090332,39,
1,0.011713176965713501,49,
1,0.008314674720168114,59,
1,,61,0.01538256835192442
2,0.01094296295195818,69,
2,0.006801359821110964,79,
2,0.005487413145601749,89,
2,,92,0.012314822524785995
3,0.008765366859734058,99,
3,0.00626858277246356,109,
3,0.003907335922122002,119,
3,,123,0.009602081961929798
4,0.005913941655308008,129,
4,0.003969279583543539,139,
4,0.0035866755060851574,149,
4,,154,0.0059682996943593025
5,0.0037403847090899944,159,
5,0.002774223918095231,169,
5,0.002392769092693925,179,
5,,185,0.00465933745726943
6,0.002905628876760602,189,
6,0.0024077738635241985,199,
6,0.002403697930276394,209,
6,,216,0.004864346701651812
7,0.0029285773634910583,219,
7,0.0023161619901657104,229,
7,0.002114513423293829,239,
7,,247,0.004163193516433239
8,0.002185836201533675,249,
8,0.0020873199682682753,259,
8,0.0017929207533597946,269,
8,,278,0.0047345454804599285
9,0.0028646166902035475,279,
9,0.0018125902861356735,289,
9,0.0017185676842927933,299,
9,0.010171768255531788,309,
9,,309,0.004907136783003807
10,0.0024475662503391504,319,
10,0.0015131509862840176,329,
10,0.0019246118608862162,339,
10,,340,0.005800137296319008
11,0.0021463686134666204,349,
11,0.0021788328886032104,359,
11,0.0025281142443418503,369,
11,,371,0.0045145717449486256
12,0.002149466425180435,379,
12,0.0014318916946649551,389,
12,0.0016501301433891058,399,
12,,402,0.005036818794906139
13,0.001690590986981988,409,
13,0.001809128443710506,419,
13,0.0011551332427188754,429,
13,,433,0.0032496426720172167
14,0.0016035143053159118,439,
14,0.0011910718167200685,449,
14,0.0012226614635437727,459,
14,,464,0.004640520084649324
15,0.0018309163860976696,469,
15,0.0012735315831378102,479,
15,0.0010142684914171696,489,
15,,495,0.003184679662808776
16,0.0017062912229448557,499,
16,0.0013570014853030443,509,
16,0.0011081534903496504,519,
16,,526,0.005248583387583494
17,0.0016763232415542006,529,
17,0.0013713797088712454,539,
17,0.0013787730131298304,549,
17,,557,0.0032974653877317905
18,0.0017620152793824673,559,
18,0.0013401168398559093,569,
18,0.0013140402734279633,579,
18,,588,0.005445314571261406
19,0.002739872317761183,589,
19,0.0013424790231510997,599,
19,0.0011881134705618024,609,
19,0.004272807389497757,619,
19,,619,0.002257790882140398
20,0.0014167327899485826,629,
20,0.0009559802711009979,639,
20,0.0012735232012346387,649,
20,,650,0.003940244670957327
21,0.0012252341257408261,659,
21,0.0015147441299632192,669,
21,0.0017015578923746943,679,
21,,681,0.0020442295353859663
22,0.0011691569816321135,689,
22,0.0008164483588188887,699,
22,0.0012346807634457946,709,
22,,712,0.003426011186093092
23,0.00124131899792701,719,
23,0.0014587701298296452,729,
23,0.0007774783880449831,739,
23,,743,0.001991703175008297
24,0.0011717360466718674,749,
24,0.0009451722144149244,759,
24,0.0008394233300350606,769,
24,,774,0.003276713425293565
25,0.0012676010373979807,779,
25,0.0009851321810856462,789,
25,0.0007156006176955998,799,
25,,805,0.001923618488945067
26,0.0015278453938663006,809,
26,0.0010593626648187637,819,
26,0.0008228903752751648,829,
26,,836,0.0032378060277551413
27,0.0012685440015047789,839,
27,0.0008884070557542145,849,
27,0.001190757378935814,859,
27,,867,0.0018394753569737077
28,0.0009653022862039506,869,
28,0.0009454634855501354,879,
28,0.0010200518881902099,889,
28,,898,0.00306511577218771
29,0.0015860239509493113,899,
29,0.0008890620665624738,909,
29,0.0008301162743009627,919,
29,0.0018740580417215824,929,
29,,929,0.0017604307504370809
30,0.0011601074365898967,939,
30,0.000706026388797909,949,
30,0.0010533407330513,959,
30,,960,0.002889415016397834
31,0.0011024210834875703,969,
31,0.001321446499787271,979,
31,0.0014092553174123168,989,
31,,991,0.0016838695155456662
32,0.0009643298108130693,999,
32,0.0006908505456522107,1009,
32,0.0011162231676280499,1019,
32,,1022,0.002827996853739023
33,0.0009486664202995598,1029,
33,0.001136693637818098,1039,
33,0.0006484428886324167,1049,
33,,1053,0.001626578625291586
34,0.00092264823615551,1059,
34,0.0009015786345116794,1069,
34,0.000657200173009187,1079,
34,,1084,0.0028588888235390186
35,0.0011081346310675144,1089,
35,0.0007958903443068266,1099,
35,0.0005554633098654449,1109,
35,,1115,0.0016000245232135057
36,0.0017637372948229313,1119,
36,0.0010806175414472818,1129,
36,0.0007059346535243094,1139,
36,,1146,0.0029027482960373163
37,0.0011556065874174237,1149,
37,0.0008574114763177931,1159,
37,0.001014216337352991,1169,
37,,1177,0.0016288855113089085
38,0.0010999906808137894,1179,
38,0.0007783074397593737,1189,
38,0.0007851967820897698,1199,
38,,1208,0.002731160493567586
39,0.0014785118401050568,1209,
39,0.0007540567894466221,1219,
39,0.0006918559083715081,1229,
39,0.002777923597022891,1239,
39,,1239,0.0016711463686078787
40,0.0012546968646347523,1249,
40,0.000786944292485714,1259,
40,0.0009805451845750213,1269,
40,,1270,0.002297444501891732
41,0.0011047262232750654,1279,
