epoch,loss,skeleton,smooth,step,val_loss
0,0.18249939382076263,0.0,0.0,9,
0,0.05256817489862442,0.0,0.0,19,
0,0.03299097344279289,0.0,0.0,29,
0,,,,30,0.030076291412115097
1,0.028689445927739143,0.0,0.0,39,
1,0.0219950582832098,0.0,0.0,49,
1,0.017568590119481087,0.0,0.0,59,
1,,,,61,0.016213709488511086
2,0.01216159202158451,0.0,0.0,69,
2,0.00907744187861681,0.0,0.0,79,
2,0.006907178089022636,0.0,0.0,89,
2,,,,92,0.0061230966821312904
3,0.005154199432581663,0.0,0.0,99,
3,0.004043184220790863,0.0,0.0,109,
3,0.003220359096303582,0.0,0.0,119,
3,,,,123,0.002990501467138529
4,0.0026768313255161047,0.0,0.0,129,
4,0.0025673494674265385,0.0,0.0,139,
4,0.002283209702000022,0.0,0.0,149,
4,,,,154,0.0022484222427010536
5,0.0022800301667302847,0.0,0.0,159,
5,0.00204653711989522,0.0,0.0,169,
5,0.002007461152970791,0.0,0.0,179,
5,,,,185,0.0018989394884556532
6,0.0018512244569137692,0.0,0.0,189,
6,0.0017761283088475466,0.0,0.0,199,
6,0.0017080478137359023,0.0,0.0,209,
6,,,,216,0.001661140937358141
7,0.0016583810793235898,0.0,0.0,219,
7,0.0015645609237253666,0.0,0.0,229,
7,0.0015273947501555085,0.0,0.0,239,
7,,,,247,0.001478958292864263
8,0.0014830507570877671,0.0,0.0,249,
8,0.0014030060265213251,0.0,0.0,259,
8,0.0013557332567870617,0.0,0.0,269,
8,,,,278,0.0013308200286701322
9,0.0013467136304825544,0.0,0.0,279,
9,0.0012842346914112568,0.0,0.0,289,
9,0.001266104867681861,0.0,0.0,299,
9,0.0013006984954699874,0.0,0.0,309,
9,,,,309,0.001205933396704495
10,0.0011772101279348135,0.0,0.0,319,
10,0.001127250143326819,0.0,0.0,329,
10,0.0011336939642205834,0.0,0.0,339,
10,,,,340,0.001098483451642096
11,0.0010508205741643906,0.0,0.0,349,
11,0.0010282888542860746,0.0,0.0,359,
11,0.0010102528613060713,0.0,0.0,369,
11,,,,371,0.0010048231342807412
