epoch,loss,skeleton,smooth,step,val_loss
0,0.24763862788677216,0.0,0.0,9,
0,0.13193359971046448,0.0,0.0,19,
0,0.06981915980577469,0.0,0.0,29,
0,,,,30,0.061620041728019714
1,0.04397331550717354,0.0,0.0,39,
1,0.03193553537130356,0.0,0.0,49,
1,0.027087824419140816,0.0,0.0,59,
1,,,,61,0.026358673349022865
2,0.023188209161162376,0.0,0.0,69,
2,0.02016819268465042,0.0,0.0,79,
2,0.018435006961226463,0.0,0.0,89,
2,,,,92,0.016668232157826424
3,0.015983454883098602,0.0,0.0,99,
3,0.014443219639360905,0.0,0.0,109,
3,0.012537814676761627,0.0,0.0,119,
3,,,,123,0.012029949575662613
4,0.010947803035378456,0.0,0.0,129,
4,0.011827901005744934,0.0,0.0,139,
4,0.008846938610076904,0.0,0.0,149,
4,,,,154,0.009704764001071453
5,0.010384158231317997,0.0,0.0,159,
5,0.008255386725068092,0.0,0.0,169,
5,0.008083219639956951,0.0,0.0,179,
5,,,,185,0.007884404622018337
6,0.007965839467942715,0.0,0.0,189,
6,0.00709329592064023,0.0,0.0,199,
6,0.007085324730724096,0.0,0.0,209,
6,,,,216,0.006437156815081835
7,0.006421279162168503,0.0,0.0,219,
7,0.005882268771529198,0.0,0.0,229,
7,0.005407198332250118,0.0,0.0,239,
7,,,,247,0.005299048963934183
8,0.00506804883480072,0.0,0.0,249,
8,0.0052198185585439205,0.0,0.0,259,
8,0.004920227453112602,0.0,0.0,269,
8,,,,278,0.004648923873901367
9,0.0049036783166229725,0.0,0.0,279,
9,0.003985934890806675,0.0,0.0,289,
9,0.004260294605046511,0.0,0.0,299,
9,0.004685717634856701,0.0,0.0,309,
9,,,,309,0.004289212170988321
10,0.004155738279223442,0.0,0.0,319,
10,0.00353989377617836,0.0,0.0,329,
10,0.004094610922038555,0.0,0.0,339,
10,,,,340,0.004032974597066641
11,0.003347007092088461,0.0,0.0,349,
11,0.003736544167622924,0.0,0.0,359,
11,0.0038896172773092985,0.0,0.0,369,
11,,,,371,0.0038209001068025827
12,0.0039035293739289045,0.0,0.0,379,
12,0.0033736680634319782,0.0,0.0,389,
12,0.0036380973178893328,0.0,0.0,399,
12,,,,402,0.0036412447225302458
13,0.004214747808873653,0.0,0.0,409,
13,0.0037106412928551435,0.0,0.0,419,
13,0.003373783780261874,0.0,0.0,429,
13,,,,433,0.0034873352851718664
14,0.0031416781712323427,0.0,0.0,439,
14,0.0030670713167637587,0.0,0.0,449,
14,0.0032746708020567894,0.0,0.0,459,
14,,,,464,0.0033540665172040462
15,0.003764183958992362,0.0,0.0,469,
15,0.002902846084907651,0.0,0.0,479,
15,0.0033557871356606483,0.0,0.0,489,
15,,,,495,0.003236876567825675
16,0.003328662132844329,0.0,0.0,499,
16,0.0033150380477309227,0.0,0.0,509,
16,0.0034946880768984556,0.0,0.0,519,
16,,,,526,0.0031326026655733585
17,0.0034161312505602837,0.0,0.0,529,
17,0.003098716726526618,0.0,0.0,539,
17,0.003280917415395379,0.0,0.0,549,
17,,,,557,0.0030414354987442493
18,0.002851050579920411,0.0,0.0,559,
18,0.0033655317965894938,0.0,0.0,569,
18,0.003008614294230938,0.0,0.0,579,
18,,,,588,0.002963232807815075
19,0.0031902738846838474,0.0,0.0,589,
19,0.0025148268323391676,0.0,0.0,599,
19,0.0027392918709665537,0.0,0.0,609,
19,0.0028737385291606188,0.0,0.0,619,
19,,,,619,0.002895312150940299
20,0.002966787898913026,0.0,0.0,629,
20,0.002550964942201972,0.0,0.0,639,
20,0.0029178904369473457,0.0,0.0,649,
20,,,,650,0.0028376232367008924
21,0.002322548534721136,0.0,0.0,659,
21,0.00274285557679832,0.0,0.0,669,
21,0.0029423870146274567,0.0,0.0,679,
21,,,,681,0.0027945905458182096
22,0.0028115850873291492,0.0,0.0,689,
22,0.0024267907720059156,0.0,0.0,699,
22,0.002651497256010771,0.0,0.0,709,
22,,,,712,0.002755110850557685
23,0.0031735177617520094,0.0,0.0,719,
23,0.002793765626847744,0.0,0.0,729,
23,0.0024749317672103643,0.0,0.0,739,
23,,,,743,0.002686469117179513
24,0.0024424416478723288,0.0,0.0,749,
24,0.0022627708967775106,0.0,0.0,759,
24,0.0025352658703923225,0.0,0.0,769,
24,,,,774,0.0025947093963623047
25,0.0030512320809066296,0.0,0.0,779,
25,0.0022000218741595745,0.0,0.0,789,
25,0.002680966630578041,0.0,0.0,799,
25,,,,805,0.0025519919581711292
26,0.002626946894451976,0.0,0.0,809,
26,0.0025554816238582134,0.0,0.0,819,
26,0.002772726584225893,0.0,0.0,829,
26,,,,836,0.002603531116619706
27,0.002758813789114356,0.0,0.0,839,
27,0.002365811262279749,0.0,0.0,849,
27,0.0027693475130945444,0.0,0.0,859,
27,,,,867,0.0026064501143991947
28,0.002281344961374998,0.0,0.0,869,
28,0.0025687473826110363,0.0,0.0,879,
28,0.0024769676383584738,0.0,0.0,889,
28,,,,898,0.002474228385835886
29,0.0026510076131671667,0.0,0.0,899,
29,0.001967374701052904,0.0,0.0,909,
29,0.002143105259165168,0.0,0.0,919,
29,0.002313134027644992,0.0,0.0,929,
29,,,,929,0.0030058263801038265
30,0.0025596313644200563,0.0,0.0,939,
30,0.002028550487011671,0.0,0.0,949,
30,0.002317072357982397,0.0,0.0,959,
30,,,,960,0.002385928062722087
31,0.0018944365438073874,0.0,0.0,969,
31,0.0021210089325904846,0.0,0.0,979,
31,0.0024276466574519873,0.0,0.0,989,
31,,,,991,0.0023102026898413897
32,0.002200017450377345,0.0,0.0,999,
32,0.001922708353959024,0.0,0.0,1009,
32,0.00208792882040143,0.0,0.0,1019,
32,,,,1022,0.0025755453389137983
33,0.0027542540337890387,0.0,0.0,1029,
33,0.0024087531492114067,0.0,0.0,1039,
33,0.0018937024287879467,0.0,0.0,1049,
33,,,,1053,0.002158785704523325
34,0.001839370816014707,0.0,0.0,1059,
34,0.0017927357694134116,0.0,0.0,1069,
34,0.001987829338759184,0.0,0.0,1079,
34,,,,1084,0.002245141426101327
35,0.0027927912306040525,0.0,0.0,1089,
35,0.001714556012302637,0.0,0.0,1099,
35,0.0023118334356695414,0.0,0.0,1109,
35,,,,1115,0.002401825040578842
36,0.0021568487863987684,0.0,0.0,1119,
36,0.002033921191468835,0.0,0.0,1129,
36,0.0022967488039284945,0.0,0.0,1139,
36,,,,1146,0.002237357199192047
37,0.002258731983602047,0.0,0.0,1149,
37,0.00184892606921494,0.0,0.0,1159,
37,0.0022475000005215406,0.0,0.0,1169,
37,,,,1177,0.0021141478791832924
38,0.0017389284912496805,0.0,0.0,1179,
38,0.0020691908430308104,0.0,0.0,1189,
38,0.0019280014093965292,0.0,0.0,1199,
38,,,,1208,0.002316413912922144
39,0.0024492216762155294,0.0,0.0,1209,
39,0.0017104282742366195,0.0,0.0,1219,
39,0.0016592165920883417,0.0,0.0,1229,
39,0.0017681601457297802,0.0,0.0,1239,
39,,,,1239,0.002107069594785571
40,0.0019135252805426717,0.0,0.0,1249,
40,0.001613614964298904,0.0,0.0,1259,
40,0.0019192129839211702,0.0,0.0,1269,
40,,,,1270,0.0021301759406924248
41,0.001643799478188157,0.0,0.0,1279,
41,0.0017784961964935064,0.0,0.0,1289,
41,0.0021933969110250473,0.0,0.0,1299,
41,,,,1301,0.0023270281963050365
42,0.0019128592684864998,0.0,0.0,1309,
42,0.0016019175527617335,0.0,0.0,1319,
42,0.0018152307020500302,0.0,0.0,1329,
42,,,,1332,0.0021650169510394335
43,0.002244963776320219,0.0,0.0,1339,
43,0.001982293790206313,0.0,0.0,1349,
43,0.001555497758090496,0.0,0.0,1359,
43,,,,1363,0.002019662642851472
44,0.0016188276931643486,0.0,0.0,1369,
44,0.001596171990968287,0.0,0.0,1379,
44,0.0017438170034438372,0.0,0.0,1389,
44,,,,1394,0.0021337014622986317
45,0.002600674517452717,0.0,0.0,1399,
45,0.001577442162670195,0.0,0.0,1409,
45,0.002010251861065626,0.0,0.0,1419,
45,,,,1425,0.0019922733772546053
46,0.00200966140255332,0.0,0.0,1429,
46,0.001688529271632433,0.0,0.0,1439,
46,0.0020684797782450914,0.0,0.0,1449,
46,,,,1456,0.0021115574054419994
47,0.002112205605953932,0.0,0.0,1459,
47,0.0015717439819127321,0.0,0.0,1469,
47,0.0019594186451286077,0.0,0.0,1479,
47,,,,1487,0.0019898952450603247
48,0.0014785545645281672,0.0,0.0,1489,
48,0.001787203480489552,0.0,0.0,1499,
48,0.0017441059462726116,0.0,0.0,1509,
48,,,,1518,0.002035384764894843
49,0.002171217929571867,0.0,0.0,1519,
49,0.0013763860333710909,0.0,0.0,1529,
49,0.0015069120563566685,0.0,0.0,1539,
49,0.0016157397767528892,0.0,0.0,1549,
49,,,,1549,0.001952571328729391
50,0.0017863615648820996,0.0,0.0,1559,
50,0.0014746440574526787,0.0,0.0,1569,
50,0.0017558906693011522,0.0,0.0,1579,
50,,,,1580,0.002013256074860692
51,0.0014410818694159389,0.0,0.0,1589,
51,0.00158675666898489,0.0,0.0,1599,
51,0.002059748163446784,0.0,0.0,1609,
51,,,,1611,0.0018961270106956363
52,0.0017569945193827152,0.0,0.0,1619,
52,0.0014391428558155894,0.0,0.0,1629,
52,0.0015967435901984572,0.0,0.0,1639,
