epoch,loss,skeleton,smooth,step,val_loss
0,0.30631932616233826,0.23948025703430176,3.8988616779533913e-07,9,
0,0.30709174275398254,0.1137310266494751,7.567230682070658e-07,19,
0,0.2412799447774887,0.0749247670173645,9.782553433979047e-07,29,
0,,,,30,0.2263917773962021
1,0.17854242026805878,0.05034905672073364,1.2425957720552105e-06,39,
1,0.12132997810840607,0.03035806119441986,1.2954844805790344e-06,49,
1,0.0715215653181076,0.01938343606889248,1.288661792386847e-06,59,
1,,,,61,0.06043538078665733
2,0.04266432672739029,0.014382551424205303,1.1975995448665344e-06,69,
2,0.03646541014313698,0.010781578719615936,1.2366967894195113e-06,79,
2,0.033509280532598495,0.00907090213149786,1.3878039908377104e-06,89,
2,,,,92,0.032059282064437866
3,0.030541768297553062,0.007883352227509022,1.473455199629825e-06,99,
3,0.028779469430446625,0.006877519190311432,1.6181699038497754e-06,109,
3,0.026441287249326706,0.0067058405838906765,1.7339319811071618e-06,119,
3,,,,123,0.025365497916936874
4,0.024188300594687462,0.0063058966770768166,1.8769289908959763e-06,129,
4,0.022105874493718147,0.0057520573027431965,2.0130971734033665e-06,139,
4,0.020523272454738617,0.005248143337666988,2.0181428226351272e-06,149,
4,,,,154,0.019575679674744606
5,0.01872696354985237,0.004880075808614492,1.9248254830017686e-06,159,
5,0.01686573028564453,0.00453548738732934,2.0567695173667744e-06,169,
5,0.01554893609136343,0.004235444590449333,2.1244873096293304e-06,179,
5,,,,185,0.014753022231161594
6,0.014824780635535717,0.0038652692455798388,2.2299191186903045e-06,189,
6,0.012250677682459354,0.003776766126975417,2.0829986624448793e-06,199,
6,0.011076032184064388,0.0035736788995563984,2.181450099669746e-06,209,
6,,,,216,0.009428011253476143
7,0.008925005793571472,0.003371120197698474,2.367097522437689e-06,219,
7,0.007423879578709602,0.0031628876458853483,2.1931818992015906e-06,229,
7,0.006244488526135683,0.003007416846230626,2.2885617454448948e-06,239,
7,,,,247,0.00536721246317029
8,0.005474461242556572,0.002835561754181981,2.2451242784882197e-06,249,
8,0.004783442709594965,0.0025395466946065426,2.3275313196791103e-06,259,
8,0.0041093057952821255,0.0023869057185947895,2.4337198283319594e-06,269,
8,,,,278,0.0038795045111328363
9,0.0038623898290097713,0.002248679520562291,2.499961510693538e-06,279,
9,0.003504976164549589,0.0020749401301145554,2.5306042061856715e-06,289,
9,0.003357585985213518,0.0018978376174345613,2.6529955903242808e-06,299,
9,0.0020297784358263016,0.0017103126738220453,1.3355355044097905e-08,309,
9,,,,309,0.0031925286166369915
10,0.0030475053936243057,0.0017092550406232476,2.5741719582583755e-06,319,
10,0.002818334847688675,0.0015591601841151714,2.5646411359048216e-06,329,
10,0.0027964147739112377,0.0015163533389568329,2.626171863084892e-06,339,
10,,,,340,0.002791614970192313
11,0.0027811520267277956,0.0014155838871374726,2.635058990563266e-06,349,
11,0.002580255502834916,0.0013851616531610489,2.6324223654228263e-06,359,
11,0.002645488828420639,0.0012804277939721942,2.800461970764445e-06,369,
11,,,,371,0.0025023596826940775
12,0.002312532626092434,0.0012455852702260017,2.5210508738382487e-06,379,
12,0.0023083712439984083,0.0011055872309952974,2.658048060766305e-06,389,
12,0.002319113351404667,0.0010509461862966418,2.7417622732173186e-06,399,
12,,,,402,0.0022782087326049805
13,0.0022526299580931664,0.0009828563779592514,2.702206302274135e-06,409,
13,0.0021965233609080315,0.0009385015000589192,2.793857674987521e-06,419,
13,0.0021017026156187057,0.0009079929441213608,2.7505877824296476e-06,429,
13,,,,433,0.00209611002355814
14,0.0020857721101492643,0.0008605305338278413,2.714079982979456e-06,439,
14,0.001999631756916642,0.0007755940896458924,2.7385653993405867e-06,449,
14,0.0019801927264779806,0.0007501170039176941,2.763245902315248e-06,459,
14,,,,464,0.0019438626477494836
15,0.0018777186051011086,0.0007241204148158431,2.5144495339191053e-06,469,
15,0.0019033433636650443,0.0006818472757004201,2.700974619074259e-06,479,
15,0.001844261889345944,0.0006338657112792134,2.6683014766604174e-06,489,
15,,,,495,0.001813743612729013
16,0.0017868942813947797,0.0005558528937399387,2.6684124350140337e-06,499,
16,0.001726228860206902,0.000592291820794344,2.472753067195299e-06,509,
16,0.0016892257845029235,0.0005409086006693542,2.5173387712129625e-06,519,
16,,,,526,0.0017005500849336386
17,0.0016816369025036693,0.0005063604912720621,2.595482783362968e-06,529,
17,0.0015830679330974817,0.00046583786024712026,2.30451837524015e-06,539,
17,0.0016924012452363968,0.0004710662178695202,2.4241130631708074e-06,549,
17,,,,557,0.0016006394289433956
18,0.0016620468813925982,0.0004705749452114105,2.37483664022875e-06,559,
18,0.0016194186173379421,0.00041308579966425896,2.289405301780789e-06,569,
18,0.0015393896028399467,0.000395082839531824,2.2764315872336738e-06,579,
18,,,,588,0.0015114793786779046
19,0.0015275687910616398,0.0003752317279577255,2.300660298715229e-06,589,
19,0.001415579579770565,0.00034429586958140135,2.2117915250419173e-06,599,
19,0.0014385945396497846,0.00032099749660119414,2.2504848402604694e-06,609,
19,0.000994604779407382,0.00026163901202380657,1.1208262762352206e-08,619,
19,,,,619,0.0014313283609226346
20,0.0013927918625995517,0.00030555366538465023,2.05543346964987e-06,629,
20,0.0013246700400486588,0.0002724254736676812,1.9518954559316626e-06,639,
20,0.00135675014462322,0.00028044948703609407,1.9855233404086903e-06,649,
20,,,,650,0.0013588449219241738
21,0.001365849282592535,0.0002694136928766966,1.939339654200012e-06,659,
21,0.0012923239264637232,0.0002638325677253306,1.928624897118425e-06,669,
21,0.0013440621551126242,0.00025329715572297573,2.0202442101435736e-06,679,
21,,,,681,0.001293082837946713
22,0.0012038680724799633,0.00025140083744190633,1.7182306919494295e-06,689,
22,0.001232550828717649,0.00021635140001308173,1.7029871060003643e-06,699,
22,0.0012424489250406623,0.0002079132100334391,1.7867730548459804e-06,709,
22,,,,712,0.0012332909973338246
23,0.0012204443337395787,0.0002037873782683164,1.692177761469793e-06,719,
